Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_7909	0	Macrophage	685	559	Immune_cells
Cell_7910	0	Fibroblasts	848	636	Stromal_cells
Cell_7911	0	NK_cell	854	686	Immune_cells
Cell_7912	0	T_cells	1120	874	Immune_cells
Cell_7913	0.3	Fibroblasts	1169	861	Stromal_cells
Cell_7914	0.2	Endothelial_cells	1522	1109	Stromal_cells
Cell_7915	0.1	T_cells	861	687	Immune_cells
Cell_7916	0.1	B_cell	805	615	Immune_cells
Cell_7917	12.1	T_cells	3050	1921	Immune_cells
Cell_7918	0	Fibroblasts	1344	929	Stromal_cells
Cell_7919	0.2	Monocyte	970	785	Immune_cells
Cell_7920	0.1	T_cells	751	621	Immune_cells
Cell_7921	0.1	T_cells	755	615	Immune_cells
Cell_7922	0	Platelets	2805	1613	
Cell_7923	0	T_cells	878	689	Immune_cells
Cell_7924	0	T_cells	1267	916	Immune_cells
Cell_7925	0	Fibroblasts	3896	2036	Stromal_cells
Cell_7926	0.1	NK_cell	1341	958	Immune_cells
Cell_7927	0.1	Endothelial_cells	832	645	Stromal_cells
Cell_7928	0.2	T_cells	824	666	Immune_cells
Cell_7929	0	T_cells	826	662	Immune_cells
Cell_7930	0	T_cells	754	624	Immune_cells
Cell_7931	0	NK_cell	951	715	Immune_cells
Cell_7932	0	T_cells	755	613	Immune_cells
Cell_7933	0	Astrocyte	500	437	
Cell_7934	0	Platelets	637	510	
Cell_7935	0	Fibroblasts	628	537	Stromal_cells
Cell_7936	0	T_cells	800	619	Immune_cells
Cell_7937	0.2	Smooth_muscle_cells	934	748	Stromal_cells
Cell_7938	0.1	Fibroblasts	1003	757	Stromal_cells
Cell_7939	0	Smooth_muscle_cells	1059	773	Stromal_cells
Cell_7940	0	T_cells	503	429	Immune_cells
Cell_7941	0.1	Epithelial_cells	1911	1254	Epithelial_cells
Cell_7942	0.3	T_cells	1042	834	Immune_cells
Cell_7943	0.1	T_cells	693	586	Immune_cells
Cell_7944	0.6	Neurons	1966	1368	
Cell_7945	0.1	T_cells	825	677	Immune_cells
Cell_7946	0	Fibroblasts	648	530	Stromal_cells
Cell_7947	0	T_cells	764	624	Immune_cells
Cell_7948	0	T_cells	1051	799	Immune_cells
