Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_28433	0	Epithelial_cells	10480	4039	Epithelial_cells
Cell_28434	0.2	T_cells	1185	893	Immune_cells
Cell_28435	0.1	Macrophage	1195	933	Immune_cells
Cell_28436	0.1	Fibroblasts	13102	5505	Stromal_cells
Cell_28437	0.1	Chondrocytes	1090	852	Stromal_cells
Cell_28438	0	Smooth_muscle_cells	501	456	Stromal_cells
Cell_28439	0.2	T_cells	1079	864	Immune_cells
Cell_28440	0	Smooth_muscle_cells	495	456	Stromal_cells
Cell_28441	0.2	Chondrocytes	570	506	Stromal_cells
Cell_28442	0	Smooth_muscle_cells	495	437	Stromal_cells
Cell_28443	0	Smooth_muscle_cells	580	522	Stromal_cells
Cell_28444	0.2	NK_cell	633	548	Immune_cells
Cell_28445	0.4	NK_cell	670	579	Immune_cells
Cell_28446	0	Tissue_stem_cells	524	467	
Cell_28447	0.2	Endothelial_cells	622	540	Stromal_cells
Cell_28448	0	Smooth_muscle_cells	580	527	Stromal_cells
Cell_28449	0	Smooth_muscle_cells	745	640	Stromal_cells
Cell_28450	0.1	T_cells	836	678	Immune_cells
Cell_28451	0.3	Platelets	1064	837	
Cell_28452	0.6	Smooth_muscle_cells	532	476	Stromal_cells
Cell_28453	0	Smooth_muscle_cells	677	573	Stromal_cells
Cell_28454	0.2	Platelets	532	478	
Cell_28455	0.5	T_cells	615	510	Immune_cells
Cell_28456	0.3	Platelets	574	511	
Cell_28457	0	Macrophage	1956	1340	Immune_cells
Cell_28458	0.2	Osteoblasts	606	539	Stromal_cells
Cell_28459	0	Fibroblasts	554	507	Stromal_cells
Cell_28460	0.3	T_cells	865	709	Immune_cells
Cell_28461	0	Smooth_muscle_cells	602	543	Stromal_cells
Cell_28462	0.4	Tissue_stem_cells	563	500	
Cell_28463	0.2	Smooth_muscle_cells	557	497	Stromal_cells
Cell_28464	0.2	T_cells	851	704	Immune_cells
Cell_28465	0.1	NK_cell	947	783	Immune_cells
Cell_28466	0.1	Platelets	1599	1174	
Cell_28467	0.4	Fibroblasts	544	468	Stromal_cells
Cell_28468	0.4	NK_cell	780	642	Immune_cells
Cell_28469	0	Osteoblasts	490	439	Stromal_cells
Cell_28470	0	Neurons	514	459	
Cell_28471	0.3	Fibroblasts	779	672	Stromal_cells
Cell_28472	0	Fibroblasts	1207	938	Stromal_cells
Cell_28473	0.1	Smooth_muscle_cells	1156	930	Stromal_cells
Cell_28474	0	Smooth_muscle_cells	523	472	Stromal_cells
Cell_28475	0.1	NK_cell	859	703	Immune_cells
Cell_28476	0.1	Monocyte	1102	861	Immune_cells
Cell_28477	0.2	Smooth_muscle_cells	517	463	Stromal_cells
Cell_28478	0.1	Endothelial_cells	1483	924	Stromal_cells
Cell_28479	0	Fibroblasts	1122	887	Stromal_cells
Cell_28480	0	Chondrocytes	560	514	Stromal_cells
Cell_28481	0	Chondrocytes	560	507	Stromal_cells
Cell_28482	0.3	Osteoblasts	766	648	Stromal_cells
Cell_28483	0.4	NK_cell	813	670	Immune_cells
Cell_28484	0.1	Endothelial_cells	1528	1070	Stromal_cells
Cell_28485	0.7	Smooth_muscle_cells	1639	1221	Stromal_cells
Cell_28486	0.2	Fibroblasts	536	486	Stromal_cells
Cell_28487	0.4	Fibroblasts	497	463	Stromal_cells
Cell_28488	0.9	Fibroblasts	670	591	Stromal_cells
Cell_28489	0.2	Smooth_muscle_cells	489	444	Stromal_cells
Cell_28490	0.3	Fibroblasts	594	546	Stromal_cells
Cell_28491	0.4	Macrophage	1225	959	Immune_cells
Cell_28492	0.3	Macrophage	723	631	Immune_cells
Cell_28493	0.2	Fibroblasts	492	455	Stromal_cells
Cell_28494	0.1	Chondrocytes	1034	828	Stromal_cells
Cell_28495	0.1	Endothelial_cells	12146	4676	Stromal_cells
Cell_28496	0.5	Monocyte	1023	826	Immune_cells
Cell_28497	0	Osteoblasts	501	441	Stromal_cells
Cell_28498	0.4	Chondrocytes	536	479	Stromal_cells
Cell_28499	0.1	Macrophage	1258	980	Immune_cells
Cell_28500	0	HSC_CD34+	888	709	
Cell_28501	0.4	Neurons	564	522	
Cell_28502	0	Smooth_muscle_cells	506	465	Stromal_cells
Cell_28503	0	Smooth_muscle_cells	571	515	Stromal_cells
Cell_28504	0	Smooth_muscle_cells	527	477	Stromal_cells
Cell_28505	0.2	Macrophage	543	491	Immune_cells
Cell_28506	0.2	Fibroblasts	885	774	Stromal_cells
Cell_28507	0	NK_cell	703	586	Immune_cells
Cell_28508	0.1	Fibroblasts	1561	1078	Stromal_cells
Cell_28509	0	Smooth_muscle_cells	562	494	Stromal_cells
Cell_28510	0	Smooth_muscle_cells	516	470	Stromal_cells
Cell_28511	0.2	Smooth_muscle_cells	599	531	Stromal_cells
Cell_28512	0.3	NK_cell	1273	977	Immune_cells
Cell_28513	0	Endothelial_cells	1391	1027	Stromal_cells
Cell_28514	0.1	Osteoblasts	963	743	Stromal_cells
Cell_28515	0.2	T_cells	1142	892	Immune_cells
Cell_28516	0	Smooth_muscle_cells	762	637	Stromal_cells
Cell_28517	0.1	T_cells	846	690	Immune_cells
Cell_28518	0.2	Smooth_muscle_cells	512	468	Stromal_cells
Cell_28519	0.2	T_cells	962	756	Immune_cells
Cell_28520	0	Chondrocytes	610	525	Stromal_cells
Cell_28521	0.2	Fibroblasts	559	505	Stromal_cells
Cell_28522	0.1	Endothelial_cells	5194	2650	Stromal_cells
Cell_28523	0	Smooth_muscle_cells	525	470	Stromal_cells
Cell_28524	0	T_cells	964	790	Immune_cells
Cell_28525	0.1	Fibroblasts	1582	1172	Stromal_cells
Cell_28526	0	Chondrocytes	508	463	Stromal_cells
Cell_28527	0	Smooth_muscle_cells	531	490	Stromal_cells
Cell_28528	0.2	Smooth_muscle_cells	517	461	Stromal_cells
Cell_28529	0.2	Smooth_muscle_cells	601	538	Stromal_cells
Cell_28530	0.1	Endothelial_cells	8391	3660	Stromal_cells
Cell_28531	0.1	NK_cell	770	634	Immune_cells
Cell_28532	0.1	Fibroblasts	731	628	Stromal_cells
Cell_28533	0.2	Fibroblasts	652	586	Stromal_cells
Cell_28534	0.1	NK_cell	984	797	Immune_cells
Cell_28535	0	Fibroblasts	554	494	Stromal_cells
Cell_28536	0.4	Macrophage	533	476	Immune_cells
Cell_28537	0.3	Endothelial_cells	871	731	Stromal_cells
Cell_28538	0.1	NK_cell	1193	930	Immune_cells
Cell_28539	0.2	Fibroblasts	528	481	Stromal_cells
Cell_28540	0.1	Macrophage	1181	920	Immune_cells
Cell_28541	0.2	Fibroblasts	557	516	Stromal_cells
Cell_28542	0.1	Fibroblasts	882	667	Stromal_cells
Cell_28543	0.2	Fibroblasts	584	522	Stromal_cells
Cell_28544	0	Smooth_muscle_cells	1476	1067	Stromal_cells
Cell_28545	0.2	Smooth_muscle_cells	562	507	Stromal_cells
Cell_28546	0.2	Smooth_muscle_cells	605	547	Stromal_cells
Cell_28547	0	Smooth_muscle_cells	665	587	Stromal_cells
Cell_28548	0.2	Smooth_muscle_cells	1941	1298	Stromal_cells
Cell_28549	0.2	Chondrocytes	611	554	Stromal_cells
Cell_28550	0	Smooth_muscle_cells	534	483	Stromal_cells
Cell_28551	0.4	T_cells	741	621	Immune_cells
Cell_28552	0	T_cells	731	631	Immune_cells
Cell_28553	0.1	Macrophage	991	811	Immune_cells
Cell_28554	0	Smooth_muscle_cells	534	490	Stromal_cells
Cell_28555	0	Fibroblasts	605	537	Stromal_cells
Cell_28556	0.4	B_cell	1201	918	Immune_cells
Cell_28557	0	Smooth_muscle_cells	775	643	Stromal_cells
Cell_28558	0	Macrophage	13070	4849	Immune_cells
Cell_28559	0	Tissue_stem_cells	601	534	
Cell_28560	0.1	Osteoblasts	1809	1252	Stromal_cells
Cell_28561	0	Fibroblasts	543	487	Stromal_cells
Cell_28562	0.1	T_cells	1017	809	Immune_cells
Cell_28563	0.4	Smooth_muscle_cells	1118	813	Stromal_cells
Cell_28564	0	Platelets	2048	1401	
Cell_28565	0.2	Platelets	612	542	
Cell_28566	0.2	Fibroblasts	510	467	Stromal_cells
Cell_28567	0	Smooth_muscle_cells	498	453	Stromal_cells
Cell_28568	0.1	Endothelial_cells	1974	1371	Stromal_cells
Cell_28569	0	Smooth_muscle_cells	518	470	Stromal_cells
Cell_28570	0	Fibroblasts	503	465	Stromal_cells
Cell_28571	0.1	NK_cell	931	723	Immune_cells
Cell_28572	0.2	Osteoblasts	635	569	Stromal_cells
Cell_28573	0	Smooth_muscle_cells	2660	1773	Stromal_cells
Cell_28574	0.2	Fibroblasts	619	549	Stromal_cells
Cell_28575	0.1	Macrophage	903	751	Immune_cells
Cell_28576	0	Fibroblasts	597	543	Stromal_cells
Cell_28577	0	Smooth_muscle_cells	789	664	Stromal_cells
Cell_28578	0	Chondrocytes	497	450	Stromal_cells
Cell_28579	0	Smooth_muscle_cells	553	487	Stromal_cells
Cell_28580	0.2	Fibroblasts	531	486	Stromal_cells
Cell_28581	0.6	Endothelial_cells	1460	1134	Stromal_cells
Cell_28582	0.3	Fibroblasts	1471	1158	Stromal_cells
Cell_28583	0.5	MSC	1550	1207	
Cell_28584	0.1	Epithelial_cells	1544	1232	Epithelial_cells
Cell_28585	0.3	Chondrocytes	1299	1027	Stromal_cells
Cell_28586	0.4	Endothelial_cells	1167	938	Stromal_cells
Cell_28587	0.2	NK_cell	1706	1316	Immune_cells
Cell_28588	0.4	Fibroblasts	1134	936	Stromal_cells
Cell_28589	0.3	Fibroblasts	2046	1608	Stromal_cells
Cell_28590	0.3	T_cells	1323	1062	Immune_cells
Cell_28591	0.4	Smooth_muscle_cells	1724	1321	Stromal_cells
Cell_28592	0.4	DC	1808	1357	
Cell_28593	0.2	Fibroblasts	1263	1045	Stromal_cells
Cell_28594	1	NK_cell	3913	2360	Immune_cells
Cell_28595	0.4	Chondrocytes	1366	1119	Stromal_cells
Cell_28596	0.2	Platelets	1792	1379	
Cell_28597	0.4	Fibroblasts	1579	1271	Stromal_cells
Cell_28598	0.1	Epithelial_cells	1658	1242	Epithelial_cells
Cell_28599	0.3	Smooth_muscle_cells	1477	1165	Stromal_cells
Cell_28600	0.1	NK_cell	1505	1159	Immune_cells
Cell_28601	0.1	Endothelial_cells	5915	3111	Stromal_cells
Cell_28602	0.2	Fibroblasts	2852	1981	Stromal_cells
Cell_28603	0.3	Fibroblasts	1262	1028	Stromal_cells
Cell_28604	0.5	Epithelial_cells	1416	1117	Epithelial_cells
Cell_28605	0.1	Macrophage	7833	4152	Immune_cells
Cell_28606	0.3	Fibroblasts	1827	1455	Stromal_cells
Cell_28607	0.6	NK_cell	1348	1057	Immune_cells
Cell_28608	0.2	Fibroblasts	1280	1034	Stromal_cells
Cell_28609	0.3	Smooth_muscle_cells	1321	1065	Stromal_cells
Cell_28610	0.4	Smooth_muscle_cells	1888	1464	Stromal_cells
Cell_28611	0.4	Fibroblasts	1242	1034	Stromal_cells
Cell_28612	0.1	Fibroblasts	1669	1339	Stromal_cells
Cell_28613	0.5	Osteoblasts	1331	1066	Stromal_cells
Cell_28614	0.3	Fibroblasts	1383	1127	Stromal_cells
Cell_28615	0.3	Tissue_stem_cells	1778	1384	
Cell_28616	0.2	T_cells	1299	1021	Immune_cells
Cell_28617	0.4	Epithelial_cells	1613	1275	Epithelial_cells
Cell_28618	0.2	T_cells	1469	1158	Immune_cells
Cell_28619	0.3	Smooth_muscle_cells	1508	1186	Stromal_cells
Cell_28620	0	Epithelial_cells	20496	6080	Epithelial_cells
Cell_28621	0.4	Osteoblasts	1390	1144	Stromal_cells
Cell_28622	0.5	HSC_-G-CSF	1447	1150	
Cell_28623	0.2	Chondrocytes	1231	1004	Stromal_cells
Cell_28624	0.3	Fibroblasts	1202	971	Stromal_cells
Cell_28625	0.2	Macrophage	3579	2256	Immune_cells
Cell_28626	0.1	Fibroblasts	1572	1262	Stromal_cells
Cell_28627	0.6	Osteoblasts	1247	1015	Stromal_cells
Cell_28628	0.1	B_cell	1779	1316	Immune_cells
Cell_28629	0.4	Smooth_muscle_cells	1495	1196	Stromal_cells
Cell_28630	0.4	Macrophage	2077	1454	Immune_cells
Cell_28631	0.1	Osteoblasts	1930	1494	Stromal_cells
Cell_28632	0.8	Chondrocytes	1154	949	Stromal_cells
Cell_28633	0.1	DC	1708	1333	
Cell_28634	0.4	NK_cell	1407	1086	Immune_cells
Cell_28635	0.2	Fibroblasts	1645	1280	Stromal_cells
Cell_28636	0.3	Osteoblasts	1182	976	Stromal_cells
Cell_28637	0.1	Fibroblasts	5988	3101	Stromal_cells
Cell_28638	0.2	Tissue_stem_cells	1317	1067	
Cell_28639	0.1	Fibroblasts	1414	1157	Stromal_cells
Cell_28640	0.4	Epithelial_cells	1441	1159	Epithelial_cells
Cell_28641	0.2	Neurons	1827	1431	
Cell_28642	0.3	DC	1519	1190	
Cell_28643	0.3	Fibroblasts	1621	1293	Stromal_cells
Cell_28644	0.4	Neurons	1343	1091	
Cell_28645	0.2	Fibroblasts	1893	1495	Stromal_cells
Cell_28646	0.2	Smooth_muscle_cells	1337	1052	Stromal_cells
Cell_28647	0.4	Smooth_muscle_cells	1436	1148	Stromal_cells
Cell_28648	0.5	Fibroblasts	1302	1045	Stromal_cells
Cell_28649	0.2	Platelets	1665	1286	
Cell_28650	0.2	Chondrocytes	1631	1319	Stromal_cells
Cell_28651	0.5	Smooth_muscle_cells	1332	1095	Stromal_cells
Cell_28652	0.2	T_cells	1274	1037	Immune_cells
Cell_28653	0.1	Osteoblasts	2046	1568	Stromal_cells
Cell_28654	0.3	Smooth_muscle_cells	1756	1385	Stromal_cells
Cell_28655	0.1	Fibroblasts	1239	1013	Stromal_cells
Cell_28656	0.1	Fibroblasts	1656	1316	Stromal_cells
Cell_28657	0.3	Smooth_muscle_cells	1547	1227	Stromal_cells
Cell_28658	0.2	T_cells	1521	1147	Immune_cells
Cell_28659	2.2	Monocyte	6899	3485	Immune_cells
Cell_28660	0.2	Macrophage	1629	1267	Immune_cells
Cell_28661	0.2	Fibroblasts	1613	1285	Stromal_cells
Cell_28662	0	Fibroblasts	1346	1099	Stromal_cells
Cell_28663	0.1	Smooth_muscle_cells	1513	1211	Stromal_cells
Cell_28664	0.5	Osteoblasts	1230	1006	Stromal_cells
Cell_28665	0.3	Smooth_muscle_cells	1391	1130	Stromal_cells
Cell_28666	0.4	Epithelial_cells	1258	1018	Epithelial_cells
Cell_28667	0.2	Chondrocytes	1283	1056	Stromal_cells
Cell_28668	0.5	Smooth_muscle_cells	1210	991	Stromal_cells
Cell_28669	0.4	Monocyte	1878	1349	Immune_cells
Cell_28670	0.2	Smooth_muscle_cells	1650	1299	Stromal_cells
Cell_28671	0.2	Smooth_muscle_cells	2116	1611	Stromal_cells
Cell_28672	0.5	Fibroblasts	1124	920	Stromal_cells
Cell_28673	0.1	Monocyte	1716	1316	Immune_cells
Cell_28674	0.1	Fibroblasts	1743	1376	Stromal_cells
Cell_28675	0.3	Smooth_muscle_cells	1814	1438	Stromal_cells
Cell_28676	0.6	Smooth_muscle_cells	1431	1150	Stromal_cells
Cell_28677	0.1	T_cells	2247	1580	Immune_cells
Cell_28678	0.5	Epithelial_cells	1408	1162	Epithelial_cells
Cell_28679	0.2	Fibroblasts	1326	1093	Stromal_cells
Cell_28680	0.3	Smooth_muscle_cells	1533	1227	Stromal_cells
Cell_28681	3.2	Smooth_muscle_cells	1136	908	Stromal_cells
Cell_28682	0.2	DC	1564	1196	
Cell_28683	0.2	Macrophage	1618	1207	Immune_cells
Cell_28684	0.3	Fibroblasts	2022	1570	Stromal_cells
Cell_28685	0.2	Fibroblasts	1275	1047	Stromal_cells
Cell_28686	0.4	Smooth_muscle_cells	1145	937	Stromal_cells
Cell_28687	0.3	Osteoblasts	2046	1585	Stromal_cells
Cell_28688	0.1	Smooth_muscle_cells	1373	1093	Stromal_cells
Cell_28689	0.3	Smooth_muscle_cells	1746	1365	Stromal_cells
Cell_28690	0.3	Fibroblasts	2051	1604	Stromal_cells
Cell_28691	0.2	Tissue_stem_cells	1129	889	
Cell_28692	0.2	Epithelial_cells	1394	1122	Epithelial_cells
Cell_28693	0.4	Fibroblasts	1422	1125	Stromal_cells
Cell_28694	0.1	Fibroblasts	1412	1132	Stromal_cells
Cell_28695	0.3	Fibroblasts	1808	1420	Stromal_cells
Cell_28696	0.2	Chondrocytes	1647	1287	Stromal_cells
Cell_28697	0.4	Macrophage	1631	1251	Immune_cells
Cell_28698	0.2	Smooth_muscle_cells	1215	993	Stromal_cells
Cell_28699	0.4	Epithelial_cells	1356	1108	Epithelial_cells
Cell_28700	0.1	Smooth_muscle_cells	1812	1444	Stromal_cells
Cell_28701	0.1	Macrophage	4324	2708	Immune_cells
Cell_28702	0.4	Fibroblasts	1771	1366	Stromal_cells
Cell_28703	0.4	Epithelial_cells	93769	10488	Epithelial_cells
Cell_28704	0.2	Smooth_muscle_cells	1902	1460	Stromal_cells
Cell_28705	0.1	Smooth_muscle_cells	1556	1235	Stromal_cells
Cell_28706	0.3	Fibroblasts	1501	1186	Stromal_cells
Cell_28707	0	T_cells	1601	1224	Immune_cells
Cell_28708	0.3	Epithelial_cells	1820	1438	Epithelial_cells
Cell_28709	0.1	Fibroblasts	1655	1328	Stromal_cells
Cell_28710	0.3	Platelets	1531	1194	
Cell_28711	1.3	Smooth_muscle_cells	4543	2744	Stromal_cells
Cell_28712	0.3	Smooth_muscle_cells	3157	2167	Stromal_cells
Cell_28713	0.1	Epithelial_cells	1729	1389	Epithelial_cells
Cell_28714	0.1	Smooth_muscle_cells	1370	1129	Stromal_cells
Cell_28715	0.4	Fibroblasts	1474	1183	Stromal_cells
Cell_28716	0.4	Chondrocytes	1386	1089	Stromal_cells
Cell_28717	0.5	Fibroblasts	2561	1692	Stromal_cells
Cell_28718	0.1	Chondrocytes	1724	1350	Stromal_cells
Cell_28719	0.1	Fibroblasts	1490	1200	Stromal_cells
Cell_28720	0.2	Smooth_muscle_cells	1409	1140	Stromal_cells
Cell_28721	0.1	T_cells	2079	1518	Immune_cells
Cell_28722	0.1	Chondrocytes	1974	1513	Stromal_cells
Cell_28723	0.5	Fibroblasts	1291	1065	Stromal_cells
Cell_28724	0.3	Macrophage	1584	1221	Immune_cells
Cell_28725	0.3	Macrophage	1203	953	Immune_cells
Cell_28726	0.2	Osteoblasts	1511	1223	Stromal_cells
Cell_28727	0.2	Chondrocytes	1690	1364	Stromal_cells
Cell_28728	0.3	Smooth_muscle_cells	1441	1158	Stromal_cells
Cell_28729	0.2	Epithelial_cells	1712	1366	Epithelial_cells
Cell_28730	0.2	DC	1327	1091	
Cell_28731	0.3	Macrophage	1606	1247	Immune_cells
Cell_28732	0.2	Fibroblasts	1288	1043	Stromal_cells
Cell_28733	0.9	Endothelial_cells	1225	1002	Stromal_cells
Cell_28734	0.4	Fibroblasts	1285	1026	Stromal_cells
Cell_28735	0.2	Macrophage	1904	1423	Immune_cells
Cell_28736	0.2	Macrophage	1240	982	Immune_cells
Cell_28737	0.1	Osteoblasts	1684	1332	Stromal_cells
Cell_28738	0.2	Fibroblasts	1252	1029	Stromal_cells
Cell_28739	0	Smooth_muscle_cells	1418	1133	Stromal_cells
Cell_28740	0.3	Osteoblasts	1352	1058	Stromal_cells
Cell_28741	0.2	Fibroblasts	1247	1009	Stromal_cells
Cell_28742	0.1	Macrophage	1669	1288	Immune_cells
Cell_28743	0.7	NK_cell	1514	1186	Immune_cells
Cell_28744	0.3	Smooth_muscle_cells	1781	1401	Stromal_cells
Cell_28745	0.5	MSC	1428	1157	
Cell_28746	0.7	Fibroblasts	1650	1310	Stromal_cells
Cell_28747	0.3	NK_cell	1459	1138	Immune_cells
Cell_28748	0.5	Smooth_muscle_cells	1757	1362	Stromal_cells
Cell_28749	0.3	Neurons	1217	988	
Cell_28750	0.3	Macrophage	4266	2492	Immune_cells
Cell_28751	0.3	Macrophage	2306	1564	Immune_cells
Cell_28752	0.4	Smooth_muscle_cells	1322	1104	Stromal_cells
Cell_28753	0.1	Neurons	16068	5709	
Cell_28754	0.3	Smooth_muscle_cells	1402	1139	Stromal_cells
Cell_28755	0	T_cells	1509	1195	Immune_cells
Cell_28756	0	MSC	1508	1229	
Cell_28757	0.2	Epithelial_cells	1686	1358	Epithelial_cells
Cell_28758	0.5	Smooth_muscle_cells	1133	948	Stromal_cells
Cell_28759	0.1	B_cell	1624	1233	Immune_cells
Cell_28760	0.2	Epithelial_cells	1608	1293	Epithelial_cells
Cell_28761	0.4	Epithelial_cells	1645	1299	Epithelial_cells
Cell_28762	0.2	Fibroblasts	1196	982	Stromal_cells
Cell_28763	0.2	Fibroblasts	1659	1334	Stromal_cells
Cell_28764	0.2	Tissue_stem_cells	1169	977	
Cell_28765	0.4	Smooth_muscle_cells	1454	1147	Stromal_cells
Cell_28766	0.3	Chondrocytes	1508	1205	Stromal_cells
Cell_28767	0.4	Macrophage	1779	1362	Immune_cells
Cell_28768	0.5	Fibroblasts	1127	916	Stromal_cells
Cell_28769	0.4	Epithelial_cells	1205	982	Epithelial_cells
Cell_28770	0.3	Fibroblasts	1595	1189	Stromal_cells
Cell_28771	0.1	Epithelial_cells	2560	1859	Epithelial_cells
Cell_28772	0.4	Fibroblasts	1198	952	Stromal_cells
Cell_28773	0.2	Smooth_muscle_cells	1291	1053	Stromal_cells
Cell_28774	0	Smooth_muscle_cells	1134	927	Stromal_cells
Cell_28775	0.3	Epithelial_cells	1178	949	Epithelial_cells
Cell_28776	0.4	Fibroblasts	1346	1092	Stromal_cells
Cell_28777	0.2	Fibroblasts	1275	1052	Stromal_cells
Cell_28778	0.3	Fibroblasts	1779	1337	Stromal_cells
Cell_28779	0.1	Osteoblasts	1949	1488	Stromal_cells
Cell_28780	0.1	Smooth_muscle_cells	1169	948	Stromal_cells
Cell_28781	0.3	Fibroblasts	1287	1019	Stromal_cells
Cell_28782	0.6	Fibroblasts	1660	1300	Stromal_cells
Cell_28783	0.1	Chondrocytes	2088	1604	Stromal_cells
Cell_28784	0.1	HSC_-G-CSF	1234	977	
Cell_28785	0.3	Fibroblasts	1108	904	Stromal_cells
Cell_28786	0.1	Fibroblasts	1632	1295	Stromal_cells
Cell_28787	0.3	Macrophage	1394	1124	Immune_cells
Cell_28788	0.4	Fibroblasts	1377	1117	Stromal_cells
Cell_28789	0.1	Macrophage	2322	1672	Immune_cells
Cell_28790	0.3	Fibroblasts	1188	975	Stromal_cells
Cell_28791	0.2	Fibroblasts	1510	1222	Stromal_cells
Cell_28792	0.2	Epithelial_cells	1327	1104	Epithelial_cells
Cell_28793	0.4	Chondrocytes	1605	1272	Stromal_cells
Cell_28794	0.1	Smooth_muscle_cells	1230	994	Stromal_cells
Cell_28795	0.2	Monocyte	1720	1347	Immune_cells
Cell_28796	0.1	NK_cell	2062	1505	Immune_cells
Cell_28797	0.4	Endothelial_cells	14382	5235	Stromal_cells
Cell_28798	0.3	Smooth_muscle_cells	1316	1079	Stromal_cells
Cell_28799	0.2	NK_cell	1853	1371	Immune_cells
Cell_28800	0.2	Epithelial_cells	1402	1129	Epithelial_cells
Cell_28801	0.2	Epithelial_cells	2057	1580	Epithelial_cells
Cell_28802	0.3	Smooth_muscle_cells	1569	1240	Stromal_cells
Cell_28803	0.6	Smooth_muscle_cells	1360	1062	Stromal_cells
Cell_28804	0.5	Smooth_muscle_cells	1312	1064	Stromal_cells
Cell_28805	0.6	Smooth_muscle_cells	1243	1002	Stromal_cells
Cell_28806	10.7	Tissue_stem_cells	1500	1048	
Cell_28807	0.2	Epithelial_cells	1890	1509	Epithelial_cells
Cell_28808	0.2	T_cells	2086	1600	Immune_cells
Cell_28809	0	Chondrocytes	1266	1012	Stromal_cells
Cell_28810	0.3	Fibroblasts	1592	1200	Stromal_cells
Cell_28811	0.2	Smooth_muscle_cells	1431	1167	Stromal_cells
Cell_28812	0.1	Fibroblasts	1728	1349	Stromal_cells
Cell_28813	0.4	Fibroblasts	1815	1422	Stromal_cells
Cell_28814	0.5	Osteoblasts	1291	1035	Stromal_cells
Cell_28815	0.2	Macrophage	1945	1449	Immune_cells
Cell_28816	0	Endothelial_cells	2394	1791	Stromal_cells
Cell_28817	0.4	Fibroblasts	1268	1048	Stromal_cells
Cell_28818	0.2	Monocyte	2281	1650	Immune_cells
Cell_28819	0.2	Monocyte	1728	1290	Immune_cells
Cell_28820	0.1	T_cells	1726	1305	Immune_cells
Cell_28821	0.3	Fibroblasts	1476	1159	Stromal_cells
Cell_28822	0.4	Chondrocytes	1339	1105	Stromal_cells
Cell_28823	0.2	Tissue_stem_cells	1207	971	
Cell_28824	0.2	Macrophage	1809	1316	Immune_cells
Cell_28825	0.2	Endothelial_cells	3562	2192	Stromal_cells
Cell_28826	0.5	Smooth_muscle_cells	1289	1023	Stromal_cells
Cell_28827	1.9	T_cells	1604	1211	Immune_cells
Cell_28828	0.2	Smooth_muscle_cells	1097	901	Stromal_cells
Cell_28829	0.2	Fibroblasts	1491	1186	Stromal_cells
Cell_28830	0.3	Epithelial_cells	2212	1681	Epithelial_cells
Cell_28831	0.5	Fibroblasts	1549	1235	Stromal_cells
Cell_28832	0.1	T_cells	1528	1179	Immune_cells
Cell_28833	0	Fibroblasts	9503	4082	Stromal_cells
Cell_28834	0.9	Smooth_muscle_cells	4769	3003	Stromal_cells
Cell_28835	0.1	Neuroepithelial_cell	1167	972	
Cell_28836	0.1	T_cells	1876	1362	Immune_cells
Cell_28837	0.4	Platelets	1935	1417	
Cell_28838	0.4	Smooth_muscle_cells	1321	1071	Stromal_cells
Cell_28839	0.2	Osteoblasts	1215	991	Stromal_cells
Cell_28840	0.3	Smooth_muscle_cells	1539	1226	Stromal_cells
Cell_28841	0.3	MSC	1310	1038	
Cell_28842	0.4	Monocyte	1265	992	Immune_cells
Cell_28843	0.4	MSC	1199	976	
Cell_28844	0.2	Smooth_muscle_cells	1475	1166	Stromal_cells
Cell_28845	0.3	Macrophage	1688	1277	Immune_cells
Cell_28846	0.3	Fibroblasts	1490	1211	Stromal_cells
Cell_28847	0.5	Neurons	1410	1119	
Cell_28848	0.2	Macrophage	6397	3422	Immune_cells
Cell_28849	0.2	NK_cell	1348	1073	Immune_cells
Cell_28850	0.6	Smooth_muscle_cells	1385	1108	Stromal_cells
Cell_28851	0.3	NK_cell	1293	1046	Immune_cells
Cell_28852	0.1	Tissue_stem_cells	2171	1511	
Cell_28853	0.2	Epithelial_cells	1422	1132	Epithelial_cells
Cell_28854	0.1	Chondrocytes	1431	1133	Stromal_cells
Cell_28855	0	Neurons	1282	1045	
Cell_28856	0.4	Osteoblasts	1228	1012	Stromal_cells
Cell_28857	0.1	Smooth_muscle_cells	1792	1409	Stromal_cells
Cell_28858	0.2	Fibroblasts	1263	1041	Stromal_cells
Cell_28859	0.3	Chondrocytes	1634	1294	Stromal_cells
Cell_28860	0.2	Smooth_muscle_cells	1824	1427	Stromal_cells
Cell_28861	0.3	T_cells	1491	1196	Immune_cells
Cell_28862	0	Chondrocytes	1408	1134	Stromal_cells
Cell_28863	0.2	Chondrocytes	1297	1062	Stromal_cells
Cell_28864	0.1	Epithelial_cells	1436	1168	Epithelial_cells
Cell_28865	0.4	Epithelial_cells	1667	1271	Epithelial_cells
Cell_28866	0.2	Fibroblasts	1359	1092	Stromal_cells
Cell_28867	0.5	Fibroblasts	1518	1176	Stromal_cells
Cell_28868	0	Fibroblasts	1466	1208	Stromal_cells
Cell_28869	0.3	T_cells	1740	1310	Immune_cells
Cell_28870	0.3	Fibroblasts	1477	1189	Stromal_cells
Cell_28871	0.5	Epithelial_cells	1531	1173	Epithelial_cells
Cell_28872	0.2	T_cells	1961	1449	Immune_cells
Cell_28873	0.3	Smooth_muscle_cells	1320	1054	Stromal_cells
